Sim_num	Dist	eta	latPer	c	m	prop	diaPer	xInit	yInit	r023	eqPrev	waveSpeedDiff
33125	0.0138976	19.1636	0.7508	0.313	1.9068	0.5179	0.9256	10	32	2.1622	0.6103	-1.5187
33182	0.0336022	11.924	0.0751	0.0076	0.2928	0.4838	0.8285	18	14	2.4415	0.6845	-3.2044
33801	0.0385862	32.5999	0.7863	0.4028	0.225	0.1939	1.068	9	31	1.9095	0.6658	-3.5613
34306	0.0148433	34.8627	0.8373	0.851	0.2233	0.5341	0.9291	10	32	1.954	0.6388	-0.947101
34700	0.0352662	20.5688	0.1663	0.1957	0.7385	0.7369	0.6543	9	27	2.0839	0.6995	-0.5661
35306	0.0273352	10.1662	0.6258	0.706	0.8643	0.6942	0.9865	8	27	2.5917	0.6087	1.157
35720	0.0256364	8.2856	0.4039	0.4603	0.5393	0.6557	1.0202	5	10	2.464	0.6626	-3.6188
36740	0.0147157	22.1655	0.6088	0.7591	0.1039	0.7849	0.9455	10	27	2.3916	0.6581	-2.8615
36924	0.0183167	24.8881	0.7834	0.322	0.3569	0.4665	1.0018	13	29	2.1801	0.6276	-3.5123
38180	0.0353953	10.8906	0.4816	0.2537	0.5088	0.612	1.0382	10	20	1.8009	0.6307	-1.7454
39524	0.0272755	14.8189	0.269	0.1246	0.3528	0.0624	0.4699	14	32	2.3479	0.6342	-4.5522
39554	0.0357419	22.8501	0.6643	0.735	1.1218	0.718	1.1999	5	33	2.3402	0.6967	2.4705
39621	0.02374	47.2031	0.0332	0.6703	1.3486	0.9666	0.8629	10	34	1.9239	0.6305	2.2093
40108	0.0225635	11.6533	0.5626	0.9758	0.188	0.8308	1.0799	9	21	2.4703	0.613	-2.6274
40176	0.0357597	25.8706	0.2004	0.0561	0.9842	0.7584	0.7657	10	22	2.6921	0.6505	-2.7412
40476	0.00165552	16.0576	0.5394	0.0727	0.6634	0.0283	0.8913	7	26	2.3556	0.6396	-0.5737
40605	0.0109881	31.8496	0.9424	0.8903	0.5003	0.6031	1.0593	13	35	2.108	0.6261	-2.0224
42163	0.0328533	34.2233	0.827	0.6048	0.3887	0.8159	1.1013	10	26	2.3484	0.6104	-4.248
42639	0.0168473	28.0309	0.2828	0.1142	1.6557	0.4459	0.6668	9	32	2.4377	0.6734	-1.7245
43697	0.0296455	15.99	0.5141	0.2755	0.7795	0.443	0.751	10	28	2.229	0.6067	-3.7736
44146	0.00659987	47.4632	0.2243	0.2894	0.2114	0.7641	0.6777	13	34	2.3112	0.6558	-1.9321
44356	0.00742433	36.1149	0.712	0.193	0.8576	0.3252	0.7289	11	34	2.3772	0.6178	0.0853006
45577	0.0294856	32.8544	0.6299	0.2048	1.3014	0.492	0.8768	14	32	2.0441	0.6439	-4.2724
46125	0.0340282	17.4654	0.5039	0.2838	1.6367	0.48	0.7175	8	35	1.8629	0.6323	2.8847
46970	0.0310991	24.8964	0.4618	0.1661	0.4688	0.5937	0.8005	19	34	2.5323	0.6752	-2.9764
46998	0.0269326	29.7863	0.7445	0.4515	0.9572	0.6938	1.1704	13	34	1.9585	0.6793	-0.9306
47485	0.0364148	27.5038	0.2488	0.0368	0.1747	0.7185	0.6552	21	12	2.6324	0.6213	-3.2583
47730	0.0148431	19.6507	0.5476	0.9822	1.7515	0.769	0.7301	10	34	2.3134	0.6031	-0.3665
47781	0.0275197	42.2475	0.4872	0.2012	0.0924	0.632	0.7343	14	32	2.7018	0.641	0.6174
48538	0.0149961	35.5503	0.5151	0.1113	0.9725	0.7307	0.9653	12	29	2.5689	0.6516	0.9471
49564	0.0192376	34.7064	0.6779	0.0822	0.6261	0.4124	1.0451	8	30	2.4355	0.6547	3.3255
49680	0.0330159	14.657	0.0576	0.1589	0.5708	0.6738	0.6713	7	28	1.8536	0.6544	2.5155
49723	0.0156153	18.079	0.8131	0.8727	0.4372	0.2789	1.0396	9	35	1.9395	0.6368	0.575899
50355	0.00278676	21.8499	0.0506	0.2973	1.7541	0.8746	0.891	13	35	2.1821	0.6427	1.2152
50418	0.00547499	2.6679	0.4673	0.6625	1.341	0.0591	1.0352	13	34	2.4192	0.6574	0.0261995
50524	0.0108752	46.9922	0.9389	0.8191	0.1783	0.776	1.1206	10	33	2.2986	0.6121	1.3289
50902	0.0364488	17.4523	0.4734	0.0136	1.6482	0.1224	0.6266	18	35	2.3868	0.6437	-5.2637
51767	0.0243512	38.0617	0.9958	0.4882	1.6321	0.4357	1.0317	6	34	2.0023	0.6052	-1.2054
52108	0.0348253	5.7098	0.5554	0.7299	1.7703	0.3646	0.9562	7	34	2.2703	0.644	5.3004
52660	0.0321576	26.4253	0.723	0.4934	0.0548	0.8016	1.1161	7	24	2.4145	0.6034	3.4632
52778	0.00209157	6.4478	0.4878	0.4028	0.5869	0.4025	1.0392	15	29	2.2945	0.6432	-1.2572
53610	0.036606	28.8438	0.8345	0.9144	1.1999	0.6196	0.9511	7	32	2.2442	0.5976	-3.8034
53908	0.0361176	4.5966	0.2092	0.5467	1.5339	0.4714	0.8298	8	25	2.0898	0.5998	-3.4759
54379	0.0268644	2.2877	0.4054	0.7911	1.4939	0.1367	0.9945	10	35	2.2866	0.6002	2.8786
54909	0.0401899	23.8739	0.9078	0.1201	0.7124	0.1696	1.0918	8	30	2.2943	0.5949	3.9289
54921	0.0250925	6.2407	0.4343	0.5742	0.1708	0.5825	1.0049	10	25	1.8525	0.6366	0.809
55112	0.0160618	48.6935	0.9069	0.4702	0.0193	0.802	1.027	13	28	2.0337	0.62	-1.771
55385	0.0220058	49.1676	0.8083	0.1737	0.4679	0.6952	1.1279	20	35	2.5747	0.6314	-2.4243
55418	0.0396764	30.3528	0.6363	0.7809	0.1001	0.8178	0.8193	7	24	1.7912	0.6467	-2.5207
55984	0.0110786	48.3174	0.63	0.0613	0.0028	0.3552	0.8318	11	28	2.0262	0.6387	1.5395
56367	0.0374502	6.3178	0.4843	0.0996	0.2585	0.1121	1.052	10	18	2.7522	0.6265	-1.0954
57248	0.0181291	16.2973	0.6298	0.514	1.5023	0.7813	1.1746	11	32	2.1104	0.6545	3.2916
57400	0.0143457	8.2555	0.5689	0.8	1.0984	0.5574	0.8211	12	33	2.1206	0.6184	-2.2151
58179	0.037089	37.5392	0.8157	0.6983	0.2062	0.5646	0.9957	14	32	1.9018	0.6479	-3.8368
58448	0.00907583	13.9525	0.3196	0.085	0.7304	0.6386	1.0897	11	25	2.0127	0.6457	0.1401
58924	0.0339709	40.3881	0.5966	0.4999	1.7231	0.8405	0.7994	9	30	1.9073	0.6232	-3.181
59116	0.0250871	38.6529	0.8481	0.6488	0.2201	0.5087	1.1892	5	31	1.9524	0.6674	2.1135
59466	0.00759958	26.5412	0.771	0.4533	1.3458	0.7712	1.1862	7	27	2.2231	0.6479	-2.3905
59690	0.0178262	17.0866	0.2725	0.1598	0.188	0.3917	0.5509	9	27	2.063	0.6784	0.229
60145	0.0347314	34.4226	0.7357	0.3866	1.6773	0.7306	0.9646	10	34	2.5573	0.5954	-1.3036
60558	0.0217693	7.5895	0.6123	0.9906	1.7119	0.5964	0.9259	10	30	2.0949	0.6114	-2.6639
60733	0.0280072	14.8385	0.6229	0.9165	0.4492	0.4513	0.9713	11	33	2.1532	0.6947	-0.837401
61966	0.0103552	38.3518	0.6566	0.732	0.9451	0.8308	1.1846	10	32	2.211	0.6741	-0.7098
62333	0.0318367	25.8035	0.5149	0.7044	1.2401	0.7542	0.9067	8	32	1.9574	0.686	-0.8404
63181	0.00467601	48.4901	0.7187	0.089	0.3432	0.6523	1.1976	14	29	2.3135	0.6586	-1.2383
64029	0.0302918	45.3869	0.7403	0.1924	1.7354	0.7965	1.1344	11	35	2.1238	0.611	3.8487
64189	0.0274741	41.6342	0.0662	0.1178	0.2745	0.9	0.7668	19	30	2.2578	0.672	-3.951
64761	0.0197202	2.8305	0.2833	0.4908	0.0004	0.2827	1.0016	21	35	2.4714	0.6478	3.2887
65096	0.0149465	13.6426	0.6202	0.3019	0.7352	0.5177	0.9959	9	25	2.2042	0.6278	-3.1712
65112	0.0175283	10.1094	0.5405	0.2028	0.7634	0.3047	1.0299	17	34	2.4954	0.6747	0.496
66329	0.0323297	3.2477	0.1883	0.5722	0.3987	0.2951	0.7704	7	24	1.803	0.6567	-0.535
66835	0.00814021	38.7164	0.2436	0.4221	1.2273	0.8595	0.4974	5	33	2.1363	0.6538	-1.9304
67763	0.0109587	33.8861	0.8765	0.5945	0.8674	0.4515	1.1365	8	33	2.1503	0.6184	-1.7452
67862	0.0323831	44.12	0.7303	0.0191	0.0793	0.3658	0.9151	14	23	2.0659	0.6332	-4.5844
67993	0.018354	33.9917	0.6615	0.0664	0.4471	0.3085	0.7175	7	24	2.5971	0.6595	0.0345
68761	0.0299186	21.6913	0.9664	0.7461	1.569	0.4519	1.0226	6	35	2.2632	0.5857	-0.2453
69350	0.0152172	17.8677	0.6129	0.4575	0.418	0.511	1.0571	8	25	2.416	0.6744	-1.4106
69392	0.0311065	33.3501	0.3077	0.6505	0.4735	0.9335	0.9266	16	32	1.8156	0.6307	-1.0552
69935	0.0120315	23.9222	0.7453	0.0245	1.6705	0.1665	1.0084	12	33	2.0612	0.6607	-1.5793
70353	0.035651	3.908	0.5177	0.5564	1.7615	0.254	1.0308	12	31	2.5603	0.5943	1.2068
70376	0.013594	14.8231	0.2297	0.342	1.7097	0.753	0.6783	10	31	2.1491	0.6199	2.3801
70481	0.0284291	3.3287	0.5956	0.941	0.0196	0.5053	1.1424	19	26	2.4499	0.6227	-4.0149
70615	0.0290637	36.997	0.7454	0.7747	0.0512	0.6796	1.0619	9	30	1.9675	0.6847	-0.000800458
70782	0.0191097	17.0014	0.6223	0.6001	0.2023	0.7225	1.1239	11	27	2.2743	0.6823	-1.867
71501	0.0283446	26.1483	0.8858	0.5599	0.5441	0.7257	1.1901	8	28	2.5747	0.6105	2.0676
71517	0.0280039	17.9174	0.2374	0.0516	1.7088	0.5754	0.839	9	29	2.6372	0.6716	0.605401
72446	0.0228635	20.155	0.2843	0.3839	0.0465	0.6544	0.591	9	29	1.9992	0.611	-1.7457
72562	0.0123204	34.3651	0.6709	0.9599	0.9676	0.9343	1.1259	16	33	2.0076	0.632	-1.2706
73145	0.0303565	26.9212	0.5083	0.6408	0.6405	0.693	0.5916	14	35	2.3548	0.6601	-4.6075
73380	0.0374754	25.999	0.7018	0.2885	0.1232	0.8372	1.1891	31	32	1.9508	0.6139	-3.5988
75337	0.0324306	35.8553	0.3905	0.2678	0.8527	0.6894	0.6393	9	34	2.2829	0.679	-4.0131
75542	0.0379446	15.3791	0.5881	0.7272	0.0905	0.5116	0.6215	12	33	2.0554	0.5874	1.7266
75865	0.00599585	26.3926	0.7688	0.349	0.9754	0.6124	1.0773	9	30	2.1202	0.6244	0.201801
76131	0.0359285	38.8314	0.6406	0.0038	1.2828	0.4563	1.104	8	28	1.9503	0.688	1.473
76157	0.0398216	8.4212	0.3949	0.393	0.5977	0.4235	0.732	8	30	1.9224	0.627	4.127
77366	0.0364734	39.3167	0.256	0.5959	0.3746	0.8914	0.4666	14	33	1.849	0.6506	-3.0432
78079	0.038631	38.2366	0.814	0.8794	1.5325	0.772	1.0656	9	32	2.6873	0.6287	-3.0632
79878	0.0240562	19.6085	0.4434	0.7148	0.3124	0.6736	0.5735	6	33	2.3792	0.6648	3.7628
80131	0.00337602	34.0109	0.8264	0.6619	0.7905	0.7279	1.1492	12	34	2.3618	0.6307	0.7859
80334	0.0400641	30.7665	0.3617	0.7011	1.425	0.8915	0.7255	6	29	2.602	0.5966	-1.9039
81015	0.0138349	22.4686	0.481	0.1221	0.1531	0.2974	0.6978	14	34	2.4464	0.6591	2.3025
81319	0.0295196	33.0556	0.622	0.0004	0.424	0.2927	0.9574	18	30	1.8618	0.6502	-2.2111
81474	0.019302	26.585	0.9305	0.6015	0.4141	0.4587	1.0425	9	31	2.2338	0.5975	-0.606201
81745	0.0237977	16.4542	0.5971	0.4521	0.6433	0.6282	1.1226	14	33	1.9216	0.6701	0.2428
83136	0.0143857	42.6467	0.4505	0.3783	0.1512	0.8641	0.6617	15	31	2.2109	0.6045	-0.722801
83200	0.0211319	22.0595	0.0955	0.0031	0.5155	0.4614	0.6644	15	32	2.1136	0.6608	3.454
83403	0.0134033	23.5382	0.5998	0.2359	1.409	0.7221	1.1783	14	34	2.0448	0.6651	1.2078
83957	0.0333517	49.4286	0.9202	0.0486	0.0049	0.4742	1.1304	25	25	2.5718	0.6198	-3.5101
84704	0.0389879	9.7608	0.3904	0.0805	1.6115	0.0165	0.7676	10	33	1.7444	0.6455	0.7501
84736	0.00236023	5.5142	0.6029	0.8302	0.457	0.2767	1.0633	16	35	2.1701	0.6533	-0.0284999
85511	0.0328615	45.5575	0.0558	0.1899	0.2435	0.9052	0.5802	12	29	1.8149	0.6618	-0.814801
85543	0.0144864	41.9573	0.6441	0.3191	0.9528	0.49	0.9871	7	33	2.0996	0.6759	0.432399
85559	0.0367631	44.3956	0.8881	0.3928	1.3176	0.8254	0.9577	8	27	2.1281	0.5819	0.3598
85775	0.0100132	6.7715	0.419	0.9892	1.8338	0.3529	0.7134	6	32	2.1895	0.6191	-1.8373
85921	0.0220409	22.2222	0.4136	0.5874	0.0424	0.5825	0.4412	8	29	2.08	0.6459	-3.7182
88061	0.0332968	23.1507	0.2495	0.3927	0.3472	0.8213	0.7101	14	34	1.9405	0.652	3.7717
88641	0.0190062	6.9514	0.4925	0.6009	1.4002	0.2729	0.713	8	35	2.1555	0.644	3.7381
89288	0.0371427	9.3051	0.2011	0.4382	1.7232	0.4468	0.5361	9	33	2.3516	0.6893	-3.5546
89436	0.0336273	29.3032	0.7261	0.6477	1.457	0.777	1.12	6	32	1.8653	0.6571	2.7133
89701	0.0122527	36.203	0.3994	0.0879	0.8176	0.6334	0.6773	9	25	2.4674	0.6344	-2.1708
89810	0.0345419	17.2149	0.5941	0.0571	0.2629	0.3521	0.9149	8	9	2.6531	0.6594	-2.9135
90605	0.0205636	42.6484	0.8135	0.0138	0.9741	0.4784	1.0998	8	18	2.4933	0.6461	-3.244
93513	0.00874576	21.7242	0.7578	0.0347	0.1213	0.0923	1.0908	7	14	2.3442	0.6136	-0.343801
93842	0.0331668	39.9316	0.8504	0.5554	0.3046	0.71	0.8977	10	33	1.8947	0.6137	2.2393
94472	0.034399	38.723	0.7498	0.6418	0.9531	0.8195	1.1459	14	31	1.9356	0.6412	-3.9282
95055	0.0312085	30.3833	0.8412	0.88	1.3566	0.7596	1.1228	8	31	2.7032	0.6277	-1.2707
95144	0.0230475	7.9795	0.5836	0.8977	0.038	0.4732	0.891	9	24	2.265	0.6052	-2.8699
95303	0.0205178	15.0645	0.6735	0.7161	0.6567	0.578	0.8579	11	33	1.9949	0.647	2.85
95943	0.0231279	40.3368	0.1954	0.4894	0.4855	0.8502	0.6376	6	32	1.8614	0.6404	-0.343099
96152	0.0297855	20.908	0.8121	0.5216	1.533	0.5323	0.9223	14	34	2.2859	0.6073	-3.8421
96538	6.74129e-05	45.9873	0.829	0.1299	1.0758	0.4354	1.0891	13	35	2.2439	0.6431	-0.0530999
96661	0.0309951	42.1156	0.6546	0.1396	1.5423	0.6091	1.025	8	30	2.036	0.6668	-3.8226
97554	0.0352807	49.3462	0.8685	0.0483	1.0334	0.1841	1.0758	11	31	1.8992	0.6361	-3.602
97904	0.00198816	38.0776	0.8989	0.1716	0.6866	0.5934	1.1021	14	32	2.1944	0.6346	0.7683
99015	0.0263501	34.8448	0.3463	0.0165	0.5009	0.1425	0.5115	14	35	2.0472	0.6706	3.1517
99566	0.0321712	32.3635	0.8283	0.5714	0.7942	0.373	1.0689	9	33	1.9368	0.6375	-3.6814
100307	0.0164796	33.6874	0.6952	0.336	0.7296	0.6213	1.1037	15	35	2.0182	0.6583	-2.1205
101442	0.0322568	9.6751	0.0632	0.1328	0.8161	0.5352	0.6787	9	22	2.5829	0.6437	-3.8026
102267	0.0335837	43.7003	0.7263	0.4342	0.523	0.4478	0.8656	6	29	1.8417	0.6431	-2.5943
103129	0.0121444	42.6108	0.744	0.9144	0.1013	0.9047	0.9391	10	28	2.3769	0.6099	-0.6671
103725	0.0140116	27.9693	0.6878	0.506	0.0293	0.6702	1.0734	10	27	2.0316	0.6677	-0.5774
104067	0.0402362	16.9434	0.3595	0.3583	0.3327	0.5376	0.6916	16	31	2.4006	0.6534	-5.428
104973	0.00406018	42.382	0.115	0.234	1.5018	0.9022	0.6722	6	30	2.191	0.6546	-1.2442
105149	0.0121284	24.3528	0.8361	0.4367	0.6187	0.3689	1.0013	10	30	2.1629	0.6255	-2.5449
106181	0.0193733	13.3683	0.5331	0.8664	1.85	0.8488	1.1292	12	29	2.5654	0.6338	-2.1801
106453	0.0148574	30.4464	0.7095	0.4225	0.011	0.5166	0.9723	8	25	2.0463	0.6628	-1.8576
